,Title,Release Year,Length,Parental,Director,Cast,Plot,IMDB Rank,IMDB rating,Image URL
212,Hotel Rwanda,2004,2h 1m,PG-13,Terry George,"Don Cheadle , Paul Rusesabagina , Sophie Okonedo , Tatiana Rusesabagina , Joaquin Phoenix , Jack Daglish , Xolani Mali , Policeman , Desmond Dube , Dube , Hakeem Kae-Kazim , George Rutaganda , Tony Kgoroge , Gregoire , Rosie Motene , Receptionist , Neil McCarthy , Jean Jacques , Mabutho 'Kid' Sithole , Head Chef(as Kid Sithole) , Nick Nolte , Colonel Oliver , Fana Mokoena , General Bizimungu , Jeremiah Ndlovu , Old Guard , Lebo Mashile , Odette , Antonio David Lyons , Thomas Mirama , Leleti Khumalo , Fedens , Kgomotso Seitshohlo , Anais , Lerato Mokgotho , Carine","Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",213,8.1,"https://m.media-amazon.com/images/M/MV5BZGJjYmIzZmQtNWE4Yy00ZGVmLWJkZGEtMzUzNmQ4ZWFlMjRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY281_CR0,0,190,281_.jpg"
213,Logan,2017,2h 17m,R,James Mangold,"Hugh Jackman , Logan… , Patrick Stewart , Charles , Dafne Keen , Laura , Boyd Holbrook , Pierce , Stephen Merchant , Caliban , Elizabeth Rodriguez , Gabriela , Richard E. Grant , Dr. Rice , Eriq La Salle , Will Munson , Elise Neal , Kathryn Munson , Quincy Fouse , Nate Munson , Al Coronel , Federale Commander , Frank Gallegos , Federale Lieutenant , Anthony Escobar , Federale , Reynaldo Gallegos , Rey(as Rey Gallegos) , Krzysztof Soszynski , Mohawk , Stephen Dunlevy , Macon , Daniel Bernhardt , Bone Breaker , Ryan Sturz , Pretty Boy","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",214,8.1,"https://m.media-amazon.com/images/M/MV5BYzc5MTU4N2EtYTkyMi00NjdhLTg3NWEtMTY4OTEyMzJhZTAzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX190_CR0,2,190,281_.jpg"
214,The Passion of Joan of Arc,1928,1h 54m,Passed,Carl Theodor Dreyer,"Maria Falconetti , Jeanne d'Arc(as Melle Falconetti) , Eugene Silvain , Évêque Pierre Cauchon (Bishop Pierre Cauchon) , André Berley , Jean d'Estivet , Maurice Schutz , Nicolas Loyseleur , Antonin Artaud , Jean Massieu , Michel Simon , Jean Lemaître , Jean d'Yd , Guillaume Evrard , Louis Ravet , Jean Beaupère(as Ravet) , Armand Lurville , Juge (Judge)(as André Lurville) , Jacques Arnna , Juge (Judge) , Alexandre Mihalesco , Juge (Judge) , Léon Larive , Juge (Judge) , Jean Aymé , Juge (Judge)(uncredited) , Camille Bardou , Richard Beauchamp, 13th Earl of Warwick , Gilbert Dacheux , Juge (Judge)(uncredited) , Gilbert Dalleu , Jean Lemaître(uncredited) , Paul Delauzac , Martin Ladvenu(uncredited) , Dimitri Dimitriev , Juge (Judge)(uncredited)","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",215,8.1,"https://m.media-amazon.com/images/M/MV5BNjBjNDJiYTUtOWY0OS00OGVmLTg2YzctMTE0NzVhODM1ZWJmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,8,190,281_.jpg"
215,Spotlight,2015,2h 9m,R,Tom McCarthy,"Mark Ruffalo , Mike Rezendes , Michael Keaton , Walter 'Robby' Robinson , Rachel McAdams , Sacha Pfeiffer , Liev Schreiber , Marty Baron , John Slattery , Ben Bradlee Jr. , Brian d'Arcy James , Matt Carroll , Stanley Tucci , Mitchell Garabedian , Elena Wohl , Barbara , Gene Amoroso , Steve Kurkjian , Doug Murray , Peter Canellos , Sharon McFarlane , Helen Donovan , Jamey Sheridan , Jim Sullivan , Neal Huff , Phil Saviano , Billy Crudup , Eric Macleish , Robert B. Kennedy , Court Clerk Mark , Duane Murray , Hansi Kalkofen , Brian Chamberlain , Paul Burke , Michael Cyril Creighton , Joe Crowley","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",216,8.1,"https://m.media-amazon.com/images/M/MV5BMjIyOTM5OTIzNV5BMl5BanBnXkFtZTgwMDkzODE2NjE@._V1_QL75_UY281_CR0,0,190,281_.jpg"
216,Platoon,1986,2h,R,Oliver Stone,"Charlie Sheen , Chris , Tom Berenger , Sgt. Barnes , Willem Dafoe , Sgt. Elias , Keith David , King , Forest Whitaker , Big Harold , Francesco Quinn , Rhah , Kevin Dillon , Bunny , John C. McGinley , Sgt. O'Neill , Reggie Johnson , Junior , Mark Moses , Lt. Wolfe , Corey Glover , Francis , Johnny Depp , Lerner , Chris Pedersen , Crawford , Bob Orwig , Gardner , Corkey Ford , Manny , David Neidorf , Tex , Richard Edson , Sal , Tony Todd , Warren","Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",217,8.1,"https://m.media-amazon.com/images/M/MV5BMzRjZjdlMjQtODVkYS00N2YzLWJlYWYtMGVlN2E5MWEwMWQzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,8,190,281_.jpg"
217,The Terminator,1984,1h 47m,R,James Cameron,"Arnold Schwarzenegger , Terminator , Linda Hamilton , Sarah Connor , Michael Biehn , Kyle Reese , Paul Winfield , Traxler , Lance Henriksen , Vukovich , Rick Rossovich , Matt , Bess Motta , Ginger , Earl Boen , Silberman , Dick Miller , Pawn Shop Clerk , Shawn Schepps , Nancy , Bruce M. Kerner , Desk Sergeant , Franco Columbu , Future Terminator , Bill Paxton , Punk Leader , Brad Rearden , Punk , Brian Thompson , Punk , William Wisher , Policeman(as William Wisher Jr.) , Ken Fritz , Policeman , Tom Oberhaus , Policeman","A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",218,8.1,"https://m.media-amazon.com/images/M/MV5BYTViNzMxZjEtZGEwNy00MDNiLWIzNGQtZDY2MjQ1OWViZjFmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,2,190,281_.jpg"
218,Jai Bhim,2021,2h 44m,TV-MA,T.J. Gnanavel,"Suriya , Chandru , Lijo Mol Jose , Senggeni(as Lijomol Jose) , Manikandan K. , Rajakannu(as Manikandan) , Rajisha Vijayan , Maithra , Prakash Raj , I.G. Perumalsami(as Prakashraj) , Rao Ramesh , A.G. Ram Mokan , Guru Somasundaram , P.P. Cellapandian , M.S. Bhaskar , Sangaran , V. Jayaprakash , D.G.P. Radhakrishnan(as Jaya Prakash) , Sibi Thomas , Ilavarasu , Gunasekaran , Jayarao , Kathirvel , Sujatha Sivakumar , Subbulakshmi Kathirvel(as Sujatha) , Ravi Venkatraman , Inspector Baashyam , Tamizh , S.I. Gurumoorthy , Kumaravel , Inspector Albi Antony , Supergood Subramani , Veerasamy , Bala Hasan , Kirubakaran(as Balahasan)","When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",219,8.8,"https://m.media-amazon.com/images/M/MV5BNzFkM2FhMzQtYjUwZi00N2Y3LWFkZWItMmZmMjQxNGQwZmNhXkEyXkFqcGdeQXVyODEyNjEwMDk@._V1_QL75_UY281_CR18,0,190,281_.jpg"
219,Before Sunset,2004,1h 20m,R,Richard Linklater,"Ethan Hawke , Jesse , Julie Delpy , Celine , Vernon Dobtcheff , Bookstore Manager , Louise Lemoine Torrès , Journalist #1(as Louise Lemoine Torres) , Rodolphe Pauly , Journalist #2 , Mariane Plasteig , Waitress , Diabolo , Philippe , Denis Evrard , Boat Attendant , Albert Delpy , Man at Grill , Marie Pillet , Woman in Courtyard","Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",220,8.1,"https://m.media-amazon.com/images/M/MV5BMTQ1MjAwNTM5Ml5BMl5BanBnXkFtZTYwNDM0MTc3._V1_QL75_UY281_CR0,0,190,281_.jpg"
220,Rush,2013,2h 3m,R,Ron Howard,"Daniel Brühl , Niki Lauda , Chris Hemsworth , James Hunt , Olivia Wilde , Suzy Miller , Alexandra Maria Lara , Marlene Lauda , Pierfrancesco Favino , Clay Regazzoni , David Calder , Louis Stanley , Natalie Dormer , Nurse Gemma , Stephen Mangan , Alastair Caldwell , Christian McKay , Lord Hesketh , Alistair Petrie , Stirling Moss , Julian Rhind-Tutt , Anthony 'Bubbles' Horsley , Colin Stinton , Teddy Mayer , Jamie de Courcey , Harvey 'Doc' Postlethwaite , Augusto Dallara , Enzo Ferrari(as Augusto Dall'ara) , Ilario Calvo , Luca Di Montezemolo , Patrick Baladi , John Hogan , Vincent Riotta , Lauda's Mechanic , Martin Savage , McLaren Mechanic",The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,221,8.1,"https://m.media-amazon.com/images/M/MV5BOWEwODJmZDItYTNmZC00OGM4LThlNDktOTQzZjIzMGQxODA4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,0,190,281_.jpg"
221,Network,1976,2h 1m,R,Sidney Lumet,"Faye Dunaway , Diana Christensen , William Holden , Max Schumacher , Peter Finch , Howard Beale , Robert Duvall , Frank Hackett , Wesley Addy , Nelson Chaney , Ned Beatty , Arthur Jensen , Arthur Burghardt , Great Ahmed Kahn , Bill Burrows , TV Director , John Carpenter , George Bosch , Jordan Charney , Harry Hunter , Kathy Cronkite , Mary Ann Gifford , Ed Crowley , Joe Donnelly , Jerome Dempsey , Walter C. Amundsen , Conchata Ferrell , Barbara Schlesinger , Gene Gross , Milton K. Steinman , Stanley Grover , Jack Snowden , Cindy Grover , Caroline Schumacher , Darryl Hickman , Bill Herron","A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",222,8.1,"https://m.media-amazon.com/images/M/MV5BNzY0NjU5ODUtOTAzMC00NTU5LWJkZjctYWMyOWY2MTZmOWM1XkEyXkFqcGdeQXVyMTI3ODAyMzE2._V1_QL75_UX190_CR0,5,190,281_.jpg"
222,The Exorcist,1973,2h 2m,R,William Friedkin,"Ellen Burstyn , Chris MacNeil , Max von Sydow , Father Merrin , Linda Blair , Regan , Lee J. Cobb , Lt. Kinderman , Kitty Winn , Sharon , Jack MacGowran , Burke Dennings , Jason Miller , Father Karras , William O'Malley , Father Dyer(as Reverend William O'Malley S.J.) , Barton Heyman , Dr. Klein , Peter Masterson , Dr. Barringer - Clinic Director(as Pete Masterson) , Rudolf Schündler , Karl , Gina Petrushka , Willi , Robert Symonds , Dr. Taney , Arthur Storch , Psychiatrist , Thomas Bermingham , Tom - President of University(as Reverend Thomas Bermingham S.J.) , Vasiliki Maliaros , Karras' Mother , Titos Vandis , Karras' Uncle , John Mahon , Language Lab Director","When a young girl is possessed by a mysterious entity, her mother seeks the help of two Catholic priests to save her life.",223,8.1,"https://m.media-amazon.com/images/M/MV5BYWFlZGY2NDktY2ZjOS00ZWNkLTg0ZDAtZDY4MTM1ODU4ZjljXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,4,190,281_.jpg"
223,The Best Years of Our Lives,1946,2h 50m,Approved,William Wyler,"Myrna Loy , Milly Stephenson , Dana Andrews , Fred Derry , Fredric March , Al Stephenson(as Frederic March) , Teresa Wright , Peggy Stephenson , Virginia Mayo , Marie Derry , Cathy O'Donnell , Wilma Cameron , Hoagy Carmichael , Butch Engle , Harold Russell , Homer Parrish , Gladys George , Hortense Derry , Roman Bohnen , Pat Derry , Ray Collins , Mr. Milton , Minna Gombell , Mrs. Parrish , Walter Baldwin , Mr. Parrish , Steve Cochran , Cliff , Dorothy Adams , Mrs. Cameron , Don Beddoe , Mr. Cameron , Marlene Aames , Luella Parrish , Charles Halton , Prew","Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",224,8.1,"https://m.media-amazon.com/images/M/MV5BY2RmNTRjYzctODI4Ni00MzQyLWEyNTAtNjU0N2JkMTNhNjJkXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,2,190,281_.jpg"
224,Stand by Me,1986,1h 29m,R,Rob Reiner,"Wil Wheaton , Gordie Lachance , River Phoenix , Chris Chambers , Corey Feldman , Teddy Duchamp , Jerry O'Connell , Vern Tessio , Kiefer Sutherland , Ace Merrill , Casey Siemaszko , Billy Tessio , Gary Riley , Charlie Hogan , Bradley Gregg , Eyeball Chambers , Jason Oliver Lipsett , Vince Desjardins(as Jason Oliver) , Marshall Bell , Mr. Lachance , Frances Lee McCain , Mrs. Lachance , Bruce Kirby , Mr. Quidacioluo , William Bronder , Milo Pressman , Scott Beach , Mayor Grundy , Richard Dreyfuss , The Writer , John Cusack , Denny Lachance , Madeleine Swift , Waitress , Popeye , Chopper","After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",225,8.1,"https://m.media-amazon.com/images/M/MV5BODJmY2Y2OGQtMDg2My00N2Q3LWJmZTUtYTc2ODBjZDVlNDlhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,9,190,281_.jpg"
225,La haine,1995,1h 38m,Not Rated,Mathieu Kassovitz,"Vincent Cassel , Vinz , Hubert Koundé , Hubert , Saïd Taghmaoui , Saïd , Abdel Ahmed Ghili , Abdel , Solo , Santo , Joseph Momo , Homme standard , Héloïse Rauth , Sarah , Rywka Wajsbrot , Grand-mère Vinz , Olga Abrego , Tante Vinz , Laurent Labasse , Cuisto , Choukri Gabteni , Frère Saïd , Nabil Ben Mhamed , Garçon blague , Benoît Magimel , Benoît , Médard Niang , Médard , Arash Mansour , Arash , Abdel-Moulah Boujdouni , Jeune business , Mathilde Vitry , Journaliste , Christian Moro , Journaliste TV CRS",24 hours in the lives of three young men in the French suburbs the day after a violent riot.,226,8.1,"https://m.media-amazon.com/images/M/MV5BOTQxOGU0OWUtMzExYy00ZjIxLWJmMzAtNTI1Y2YxYTMxN2RkXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,1,190,281_.jpg"
226,The Wizard of Oz,1939,1h 42m,G,Victor Fleming,"Judy Garland , Dorothy Gale , Frank Morgan , Professor Marvel… , Ray Bolger , 'Hunk'… , Bert Lahr , 'Zeke'… , Jack Haley , 'Hickory'… , Billie Burke , Glinda , Margaret Hamilton , Miss Gulch… , Charley Grapewin , Uncle Henry , Pat Walshe , Nikko , Clara Blandick , Auntie Em , Terry , Toto(as Toto) , The Singer Midgets , The Munchkins(as The Munchkins) , Franz Balluck , Munchkin(uncredited) , Josefine Balluck , Munchkin(uncredited) , Dorothy Barrett , Emerald City Manicurist(uncredited) , Amelia Batchelor , Ozmite(uncredited) , Charles Becker , Munchkin Mayor(uncredited) , Freda Betsky , Munchkin(uncredited)","Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",227,8.1,"https://m.media-amazon.com/images/M/MV5BNjUyMTc4MDExMV5BMl5BanBnXkFtZTgwNDg0NDIwMjE@._V1_QL75_UX190_CR0,1,190,281_.jpg"
227,Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13,Gore Verbinski,"Johnny Depp , Jack Sparrow , Geoffrey Rush , Barbossa , Orlando Bloom , Will Turner , Keira Knightley , Elizabeth Swann , Jack Davenport , Norrington , Jonathan Pryce , Governor Weatherby Swann , Lee Arenberg , Pintel , Mackenzie Crook , Ragetti , Damian O'Hare , Lt. Gillette , Giles New , Murtogg , Angus Barnett , Mullroy , David Bailie , Cotton , Michael Berry Jr. , Twigg , Isaac C. Singleton Jr. , Bo'sun , Kevin McNally , Joshamee Gibbs(as Kevin R. McNally) , Treva Etienne , Koehler , Zoe Saldana , Anamaria , Guy Siner , Harbormaster","Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",228,8.1,"https://m.media-amazon.com/images/M/MV5BNGYyZGM5MGMtYTY2Ni00M2Y1LWIzNjQtYWUzM2VlNGVhMDNhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,1,190,281_.jpg"
228,The Incredibles,2004,1h 55m,PG,Brad Bird,"Craig T. Nelson , Bob Parr(voice)… , Samuel L. Jackson , Lucius Best(voice)… , Holly Hunter , Helen Parr(voice)… , Jason Lee , Buddy Pine(voice)… , Dominique Louis , Bomb Voyage(voice) , Teddy Newton , Newsreel Narrator(voice) , Jean Sincere , Mrs. Hogenson(voice) , Eli Fucile , Jack-Jack Parr(voice) , Maeve Andrews , Jack-Jack Parr(voice) , Wallace Shawn , Gilbert Huph(voice) , Spencer Fox , Dashiell 'Dash' Parr(voice) , Lou Romano , Bernie Kropp(voice) , Wayne Canney , Principal(voice) , Sarah Vowell , Violet Parr(voice) , Michael Bird , Tony Rydinger(voice) , Elizabeth Peña , Mirage(voice) , Bud Luckey , Rick Dicker(voice) , Brad Bird , Edna 'E' Mode(voice)","While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",229,8.0,"https://m.media-amazon.com/images/M/MV5BMTY5OTU0OTc2NV5BMl5BanBnXkFtZTcwMzU4MDcyMQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
229,Into the Wild,2007,2h 28m,R,Sean Penn,"Emile Hirsch , Chris McCandless , Vince Vaughn , Wayne Westerberg , Catherine Keener , Jan Burres , Marcia Gay Harden , Billie McCandless , William Hurt , Walt McCandless , Jena Malone , Carine McCandless… , Brian H. Dierker , Rainey(as Brian Dierker) , Kristen Stewart , Tracy Tatro , Hal Holbrook , Ron Franz , Jim Gallien , Jim Gallien , James O'Neill , Graduation Reader(as James J. O'Neill) , Malinda McCollum , Waitress , Paul Knauls , Building Manager , Zach Galifianakis , Kevin , Craig Mutsch , Wayne's Crew #1 , Jim Beidler , Wayne's Crew #2 , John Decker , Hutterite #1 , John Hofer , Hutterite #2","After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",230,8.1,"https://m.media-amazon.com/images/M/MV5BNjQ0ODlhMWUtNmUwMS00YjExLWI4MjQtNjVmMmE2Y2E0MGRmXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UY281_CR0,0,190,281_.jpg"
230,My Father and My Son,2005,1h 52m,Not Rated,Çagan Irmak,Çetin Tekindor as Hüseyin as Fikret Kuskan as Sadik as Hümeyra as Nuran as Ege Tanman as Deniz as Serif Sezer as Gülbeyaz as Yetkin Dikinciler as Salim as Binnur Kaya as Hanife as Mahmut Gökgöz as Ibrahim as Nergis Çorakçi as Sakine as Bilge Sen as Fatma as Tuba Büyüküstün as Aysun as Özge Özberk as Birgül as Erdal Tosun as Mustafa as Halit Ergenç as Özkan as Tugyan Akay Kavukçu as Hüseyin as Ege Kaya as Aysegül as Muzaffer Demirel as Neset as Burak Akçakaya as Çocuk Sadik,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,231,8.2,"https://m.media-amazon.com/images/M/MV5BNzEzMWYyYjEtNmVjZS00YTAyLWIyOTgtMzEzNzQxMTQzZTgwXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_QL75_UX190_CR0,2,190,281_.jpg"
231,To Be or Not to Be,1942,1h 39m,Passed,Ernst Lubitsch,Carole Lombard as Maria Tura as Jack Benny as Joseph Tura as Robert Stack as Lieutenant Stanislav Sobinski as Felix Bressart as Greenberg as Lionel Atwill as Rawitch as Stanley Ridges as Professor Siletsky as Sig Ruman as Colonel Ehrhardt as Tom Dugan as Bronski as Charles Halton as Producer Jan Dobosz as George Lynn as Actor-Adjutant as Henry Victor as Captain Schultz as Maude Eburne as Anna as Halliwell Hobbes as General Armstrong as Miles Mander as Major Cunningham as Rudolph Anders as Gestapo Sergeant at Desk at Top of Hotel Stairs as Paul Barrett as Polish RAF Pilot(uncredited) as Sven Hugo Borg as German Soldier(uncredited) as Danny Borzage as Member of Audience at Performance of Hamlet,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",232,8.2,"https://m.media-amazon.com/images/M/MV5BYTIwNDcyMjktMTczMy00NDM5LTlhNDEtMmE3NGVjOTM2YjQ3XkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_QL75_UX190_CR0,2,190,281_.jpg"
232,Hachi: A Dog's Tale,2009,1h 33m,G,Lasse Hallström,"Richard Gere , Parker Wilson , Joan Allen , Cate Wilson , Cary-Hiroyuki Tagawa , Ken , Sarah Roemer , Andy , Jason Alexander , Carl , Erick Avari , Jasjeet , Davenia McFadden , Mary Anne , Robbie Sublett , Michael(as Robbie Collier Sublett) , Kevin DeCoste , Ronnie (11 Years) , Rob Degnan , Teddy Barnes(as Robert Degnan) , Tora Hallström , Heather , Donna Sorbello , Myra , Frank S. Aronson , Milton - The Butcher(as Frank Aronson) , Troy Doherty , Sal , Ian Sherman , Student Pianist , Timothy Crowe , Evan Lock , Denece Ryland , Miss Latham , Blake Friedman , Student",A college professor bonds with an abandoned dog he takes into his home.,233,8.1,"https://m.media-amazon.com/images/M/MV5BYmQzYjgyYzEtOTVhZC00MDRkLWJjNjItYzU3N2RiMTExZjA1XkEyXkFqcGdeQXVyMTcwOTQzOTYy._V1_QL75_UX190_CR0,1,190,281_.jpg"
233,The Handmaiden,2016,2h 25m,Not Rated,Park Chan-wook,"Kim Min-hee , Lady Hideko , Ha Jung-woo , Count Fujiwara , Cho Jin-woong , Uncle Kouzuki(as Jin-woong Jo) , Moon So-ri , Aunt of Lady Hideko(as Moon So-Ri) , Kim Tae-ri , Sook-Hee(as Tae Ri Kim) , Yong-nyeo Lee , Bok-soon , Min-chae Yoo , Ggeut-dan , Lee Dong-hwi , Goo-gai(as Dong-Hwi Lee) , Kim Hae-sook , Miss Sasaki(as Hae-suk Kim) , Kyu-jung Lee , Maid 1 , Si-eun Kim , Maid 2 , Si-yeon Ha , Maid 3 , Rina Takagi , Hideko's Mother , Geun-hee Won , Butler , Jong-Dae Kim , Mansion Driver , Han-sun Jang , Kouzuki Porter , Eun-yeong Kim , Maid 4 , Ri-woo Kim , Japanese Officer 1","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",234,8.1,"https://m.media-amazon.com/images/M/MV5BNDJhYTk2MTctZmVmOS00OTViLTgxNjQtMzQxOTRiMDdmNGRjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY281_CR3,0,190,281_.jpg"
234,The Grapes of Wrath,1940,2h 9m,Passed,John Ford,"Henry Fonda , Tom Joad , Jane Darwell , Ma Joad , John Carradine , Casy , Charley Grapewin , Grandpa , Dorris Bowdon , Rosasharn , Russell Simpson , Pa Joad , O.Z. Whitehead , Al , John Qualen , Muley , Eddie Quillan , Connie , Zeffie Tilbury , Grandma , Frank Sully , Noah , Frank Darien , Uncle John , Darryl Hickman , Winfield , Shirley Mills , Ruth Joad , Roger Imhof , Thomas , Grant Mitchell , Caretaker , Charles D. Brown , Wilkie , John Arledge , Davis","An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",235,8.1,"https://m.media-amazon.com/images/M/MV5BNzJiOGI2MjctYjUyMS00ZjkzLWE2ZmUtOTg4NTZkOTNhZDc1L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX190_CR0,0,190,281_.jpg"
235,The Battle of Algiers,1966,2h 1m,Not Rated,Gillo Pontecorvo,"Brahim Hadjadj , Ali La Pointe(as Brahim Haggiag) , Jean Martin , Col. Mathieu , Yacef Saadi , Djafar(as Saadi Yacef) , Samia Kerbash , Fathia , Ugo Paletti , Captain , Fusia El Kader , Halima , Mohamed Ben Kassen , Petit Omar(as Petit Omar) , Franco Moruzzi , Mahmoud(uncredited) , Tommaso Neri , Captain(uncredited) , Rouïched , The Drunk Man(uncredited) , Gene Wesson","In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",236,8.1,"https://m.media-amazon.com/images/M/MV5BN2M4YTA4ZTEtN2EyNy00YTlmLWE4YzYtYjYyYjRkMWM4ZDM0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,4,190,281_.jpg"
236,Groundhog Day,1993,1h 41m,PG,Harold Ramis,"Bill Murray , Phil , Andie MacDowell , Rita , Chris Elliott , Larry , Stephen Tobolowsky , Ned , Brian Doyle-Murray , Buster , Marita Geraghty , Nancy , Angela Paton , Mrs. Lancaster , Rick Ducommun , Gus , Rick Overton , Ralph , Robin Duke , Doris the Waitress , Carol Bivins , Anchorwoman , Willie Garson , Phil's Assistant Kenny , Ken Hudson Campbell , Man in Hallway , Les Podewell , Old Man , Rod Sell , Groundhog Official , Tom Milanovich , State Trooper , John M. Watson Sr. , Bartender(as John Watson Sr.) , Peggy Roeder , Piano Teacher","A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.",237,8.0,"https://m.media-amazon.com/images/M/MV5BZWIxNzM5YzQtY2FmMS00Yjc3LWI1ZjUtNGVjMjMzZTIxZTIxXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,1,190,281_.jpg"
237,Amores Perros,2000,2h 34m,R,Alejandro G. Iñárritu,"Emilio Echevarría , El Chivo , Gael García Bernal , Octavio(as Gael García) , Goya Toledo , Valeria , Álvaro Guerrero , Daniel(as Alvaro Guerrero) , Vanessa Bauche , Susana , Jorge Salinas , Luis , Marco Pérez , Ramiro , Rodrigo Murray , Gustavo , Humberto Busto , Jorge , Gerardo Campbell , Mauricio , Rosa María Bianchi , Tía Luisa (Aunt Luisa) , Dunia Saldívar , Mama Susana (Susana's Mother) , Adriana Barraza , Mama Octavio (Octavio's Mother) , José Sefami , Leonardo , Lourdes Echevarría , Maru , Laura Almela , Julieta , Ricardo Dalmacci , Andrés Salgado , Gustavo Sánchez Parra , Jarocho","A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",238,8.1,"https://m.media-amazon.com/images/M/MV5BZjUxNmEwOGItMTBmYi00MWQ1LWExY2MtNDUxMjI0OWM4M2NiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,1,190,281_.jpg"
